files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/Epoched_Geometric/Expert14_SYMGEO_7G_sl1_Stand_05-40Hz.set,-10.4873527715495,-11.0351367187742,-11.6278520245303,-10.6708827345112,-9.99797470677996,-10.9686787772395,-9.20589706202487,-10.7208507624908,-9.32163648990697,-6.46978107548047,-5.72876518865102,-5.84287792126534,-6.10231038192872,-6.52631653372485,-5.67072586862897,-4.97753955927344,-5.49377483090076,-5.62444054896505,Expert,S14,geometry,Stand
data/Epoched_Geometric/Expert18_SYMGEO_4G_sl1_Sit_05-40Hz.set,-10.229357205437,-11.1161470407331,-10.8617234623434,-10.5277480715797,-11.4810944132259,-10.5715796630657,-13.2745112489587,-11.8177127565964,-9.04263713456897,-6.19551977477571,-6.4150432981383,-6.9242564149201,-5.47090031910988,-6.11373851816905,-5.18751913884277,-5.64725066723807,-5.86377345548779,-5.16094493036404,Expert,S18,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_3G_sl1_Stand_05-40Hz.set,-11.2228752927768,-12.1458410676001,-9.55515144658672,-9.61104191929189,-10.976872970178,-13.5075840906408,-11.2756859524553,-9.44986327280886,-10.5318296184947,-6.85911751843061,-6.96499619256702,-6.30066415364889,-6.78312770394662,-6.34461980713429,-7.79131079557203,-5.91103277052423,-7.11358413454883,-6.40098997238664,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert12_SYMGEO_4G_sl1_Stand_05-40Hz.set,-11.1490264121521,-10.4656517075657,-9.87512459047555,-10.4116474541357,-10.5111190758437,-10.5234521902277,-10.9617097216733,-10.3953372269897,-9.69537127415373,-5.46257632821761,-6.05343995131949,-6.05983925338794,-6.30863557269967,-5.4670834184419,-6.34253452838707,-5.86052855119914,-5.59291225567786,-6.03152560747856,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert12_SYMGEO_5G_sl1_Sit_05-40Hz.set,-10.3008631643947,-11.7435492917638,-9.90676815322933,-9.9788385643028,-10.262902519815,-10.7329766641184,-11.8137505785918,-10.4338808082854,-10.2821136635962,-5.7689776850262,-6.4657971973796,-6.05402356856151,-6.92968001549989,-5.84841127405809,-7.07338960413693,-6.4735400563152,-6.45001943958932,-6.85643034362262,Expert,S12,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_7G_sl1_Sit_05-40Hz.set,-11.6735655248364,-10.2423238426435,-11.5182694976569,-13.8531854254392,-10.8943754290459,-11.530914290925,-12.7476673449877,-11.6528598432107,-11.4775499965725,-5.99932543180194,-5.842440600414,-7.26043570243219,-6.15699869185407,-6.08954436032589,-5.65288090763457,-5.80236115212643,-6.47726093100868,-5.55664422579424,Expert,S12,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_9G_sl1_Stand_05-40Hz.set,-12.7448470289063,-11.6222154881643,-10.8717626697073,-10.8234885227095,-11.3445850641718,-12.3521188919263,-12.5641543011573,-11.3902957727345,-11.0765306388007,-6.21030116900977,-6.09067023708119,-6.43057820160186,-6.28907814801025,-5.79698118929175,-5.76303646324753,-6.33423939878066,-6.30725981084897,-5.88556903461144,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_11G_sl1_Stand_05-40Hz.set,-13.8363471731342,-13.844807845451,-10.2763885320267,-9.50740200371752,-12.4778758551488,-12.8739595228334,-12.5342981558084,-10.0687991931783,-10.0955695372713,-6.23361486614014,-6.27490808578961,-5.64075232651757,-5.48654309206599,-6.06948857243199,-6.47643229506183,-6.20992348347996,-5.66286271526871,-5.93496867775347,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_2G_sl1_Stand_05-40Hz.set,-13.2199168123071,-11.5567151275516,-12.1878426068633,-11.7625036537068,-13.1865502657985,-11.1645562470638,-11.1220860737488,-11.1759748769108,-11.0309368340119,-7.41257490216652,-6.41443318631682,-6.17110663462373,-6.08546375961749,-6.49554502907237,-6.6202891460885,-5.76433252121594,-6.75373098847623,-6.67213768456948,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_3G_sl1_Stand_05-40Hz.set,-11.425972657362,-11.4108447894258,-11.1481947511896,-9.93129390025613,-11.2597022576617,-11.1656269971778,-11.9393183026125,-11.2465132291414,-12.5321789130877,-6.95184897498836,-6.16940100557049,-5.95771562587548,-6.84377549553236,-6.31623996373577,-6.20876940448126,-6.21430286010688,-6.31462758819668,-6.57536846451504,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_4G_sl1_Stand_05-40Hz.set,-10.6647024682876,-12.1945526699449,-10.6184711802292,-10.4132929245709,-10.1335733756318,-12.430384248257,-12.3794894192698,-10.6553603158194,-10.7594258809261,-6.21066379535961,-6.5671801135333,-5.5596979719492,-5.23204322472722,-6.39324135343409,-6.67231596433701,-6.20543038677306,-5.8105754113016,-6.08246286360886,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_5G_sl1_Stand_05-40Hz.set,-12.1566119010175,-11.3874925723641,-10.1086955060903,-9.12439408262042,-11.8960765902864,-11.1812612343678,-12.9003305760652,-9.57737957991916,-10.2330446138814,-6.16529337066137,-6.40265032848049,-6.70664774065048,-6.19512995080027,-6.23583472425596,-6.3032147392632,-7.60476235746761,-6.84347825945122,-7.0376224371483,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_7G_sl1_Stand_05-40Hz.set,-14.0015159042449,-13.0648531846746,-12.8493338651345,-12.4483436335456,-13.7310712279115,-13.4370849868196,-13.7287033801635,-12.1219153556848,-12.3910245375803,-7.08824049991619,-6.77532510133994,-6.84069825727434,-6.36526872113775,-6.52401903866072,-7.03146986366807,-6.25610419852606,-6.44953777872722,-6.11544545533449,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_9G_sl1_Stand_05-40Hz.set,-12.242261072928,-11.3241181354512,-15.2391609795633,-10.9308494552855,-11.6114072416477,-11.706163146851,-12.5087702121251,-14.3508377031851,-12.8092458930267,-7.75229974000333,-6.94157091025858,-5.9273933199458,-6.05043048848705,-6.5114040661975,-7.64560554155209,-6.12231129122679,-5.88504006663167,-5.5242229197035,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_1G_sl1_Stand_05-40Hz.set,-10.4192817680748,-12.7345606498683,-9.20747849851852,-10.156926719022,-10.8237094767166,-13.7882186216787,-8.99976833950668,-11.4891807276882,-9.85866151370517,-5.90425845741476,-6.35433044467067,-4.59603523618504,-5.2324677358257,-6.12086048989887,-6.36716242436518,-4.85367929331117,-5.05164856202239,-5.62812897478545,Expert,S14,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_2G_sl1_Stand_05-40Hz.set,-12.706853629595,-13.1176277676621,-10.1177028567627,-11.0976627268739,-11.7721052375008,-12.4268548467848,-13.0462150867803,-10.3034978642993,-10.1119145313967,-6.41720666306557,-5.78389437411429,-5.95880082531135,-6.2259678794944,-5.87569668312378,-5.81317222686893,-5.45907104289005,-5.5385420443154,-5.61704539779784,Expert,S14,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_3G_sl1_Sit_05-40Hz.set,-11.0989852333384,-10.4142355049244,-11.1225268275752,-14.6394295228311,-10.6765805560299,-10.4852383205713,-10.5274251070914,-9.67712059029248,-11.2582175797946,-6.17344848737056,-6.28174100225026,-5.31772930032736,-7.65443419276459,-6.25037577573275,-6.28684345344759,-6.20202316441225,-5.86756052789593,-5.86302398542024,Expert,S14,geometry,Sit
data/Epoched_Geometric/Expert14_SYMGEO_4G_sl1_Sit_05-40Hz.set,-11.9280987194254,-11.9648595086967,-10.9769898743859,-11.5832651376091,-11.877959387364,-12.3219955249794,-13.2216680026396,-11.9345073444394,-10.6280388414392,-6.30315618616603,-7.13948398749434,-6.02115125500132,-6.52422436461867,-7.35651922164807,-7.15246706043019,-6.6101067887176,-5.45666146093484,-5.71425572033283,Expert,S14,geometry,Sit
data/Epoched_Geometric/Expert14_SYMGEO_5G_sl1_Stand_05-40Hz.set,-10.7774957243085,-10.7820917926196,-10.1127487695921,-10.3391491869767,-9.940861486296,-10.7075906181211,-9.15483904733132,-10.0441656405552,-13.1179865355217,-6.26287950052563,-7.22144862466271,-5.68255096882613,-6.02300013000247,-6.13041659131762,-6.93836466353047,-4.82890644317948,-5.68865991682538,-5.21927753682357,Expert,S14,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_9G_sl1_Sit_05-40Hz.set,-14.1215888077759,-11.901449374674,-11.0034032543526,-11.8871952598212,-10.922097951904,-12.3398418382524,-9.71542324766515,-10.9277570891021,-11.5587137004196,-5.86492757584622,-6.12905691734884,-5.50520197813828,-6.04841036001058,-5.62235451447165,-5.91927108823554,-5.26819878028379,-5.10916915374731,-6.51834837567113,Expert,S14,geometry,Sit
data/Epoched_Geometric/Expert15_SYMGEO_11G_sl1_Sit_05-40Hz.set,-11.3956609865052,-11.2990742117916,-10.4042456703669,-10.2882975571849,-11.3108475172519,-12.8610450944124,-12.3688905951688,-10.7747617350994,-10.1694889297875,-6.80149218488924,-5.59513496043401,-6.38480547215275,-5.69650414186278,-6.17095359283,-5.36871450633691,-4.59437832466367,-5.8654300947428,-5.27921380258725,Expert,S15,geometry,Sit
data/Epoched_Geometric/Expert15_SYMGEO_1G_sl1_Stand_05-40Hz.set,-12.7398961270667,-13.6854952091317,-13.0719639975178,-11.6188010643568,-13.4161034487763,-14.9566623315385,-11.6439774957117,-13.0045455933936,-11.2072681346108,-7.00813647555126,-6.02171488839256,-6.76551805954484,-5.98047709370412,-6.06202978441641,-6.16209498429862,-6.30436168123889,-6.36647118345362,-5.43806484571802,Expert,S15,geometry,Stand
data/Epoched_Geometric/Expert15_SYMGEO_2G_sl1_Stand_05-40Hz.set,-11.2530543323185,-12.5475612883654,-11.3412139762115,-12.0191934832743,-13.2016590752075,-12.5228072135083,-11.1017082139434,-11.4785022792266,-13.6297013843206,-6.06336058411325,-5.56920313877537,-6.02389332719758,-6.54372007339742,-6.80109274574175,-5.65955896513703,-6.46340644181672,-5.89915228839091,-6.98170105576588,Expert,S15,geometry,Stand
