filename,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/Epoched_Geometric/Expert12_SYMGEO_7G_sl1_Sit_05-40Hz.set,-11.0058610491351,-11.1290127072363,-10.526315963739,-10.4738264267897,-10.6729754428139,-11.2394178872921,-10.9077547861476,-10.5879149980386,-10.7560854005956,-6.19115960596895,-6.25841463312517,-6.24856300769679,-6.1720387210442,-6.06817488443308,-6.10033343059559,-5.81876753111308,-6.18458148793343,-5.96809848614008,Expert,S12,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_9G_sl1_Stand_05-40Hz.set,-10.9023036275402,-10.8961460873919,-10.1447947377901,-10.1531995051755,-10.6333319699493,-10.795284023249,-10.7689087381942,-10.2898105385675,-10.7855746336554,-5.89411817954061,-5.79482064986713,-5.8613124031002,-5.66493127097493,-5.85894144733083,-5.16441084300023,-5.55565666770568,-5.90483318377162,-5.8613521409631,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_11G_sl1_Stand_05-40Hz.set,-11.6386343719879,-11.6452006006216,-10.9300424788131,-10.1204223728618,-11.4632325097317,-11.7101014389615,-11.7217313439638,-11.0267476073518,-10.9848276369948,-6.31871174905402,-6.10194338375075,-5.8900073415403,-5.46977089551215,-6.26835823731859,-6.12611549634201,-6.11590901244213,-5.9126452840304,-5.88375241492673,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_2G_sl1_Stand_05-40Hz.set,-11.6438748790703,-11.6147710214478,-11.5598914301746,-11.1044819920817,-11.4478995814516,-11.7001902082918,-11.9803324696258,-11.4468331618201,-11.3197505267592,-6.37087760873681,-6.10134337222123,-6.11883967443427,-5.75875292976715,-6.30107491870938,-6.15800090730267,-6.24353146839866,-6.11074377706766,-6.0885072828248,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_3G_sl1_Stand_05-40Hz.set,-11.9479435427207,-12.0829948149698,-11.6562034580668,-11.1762659080056,-11.8249048683264,-12.109255461062,-11.8103584937941,-11.5714601206807,-11.4237983280128,-6.51213882925034,-6.12356523208993,-6.0662033483091,-5.86446816205947,-6.40293780302874,-6.13230927531015,-6.27326418433476,-6.1476234273396,-6.03523367096755,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_4G_sl1_Stand_05-40Hz.set,-11.9236720923281,-11.7994026752234,-11.3396774455543,-11.002564865934,-11.6510854709763,-11.8576860947969,-11.7867451068624,-11.4604264095427,-11.296309494113,-6.46445683640376,-6.20868540048553,-6.01293477559879,-5.71792945883001,-6.35564198200584,-6.2610245564655,-6.30640221088685,-6.09547079441671,-6.08892598774763,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_5G_sl1_Stand_05-40Hz.set,-11.6371287749663,-11.6019200072405,-11.4177949565783,-10.9183098512243,-11.4152071683206,-11.6606242015431,-11.9341790160438,-11.3162651347671,-11.1031645690422,-6.38783633313254,-6.26306844419347,-6.08140500642647,-5.69527077152079,-6.29477791388363,-6.31675342939458,-6.23966626608465,-6.07823120823258,-6.01697175512502,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_7G_sl1_Stand_05-40Hz.set,-11.5155112354755,-11.4403146061272,-11.0904380695351,-10.4868850371254,-11.268159546909,-11.5182102468926,-11.4870192201793,-11.1465849365908,-11.1272563999498,-6.43122155443421,-6.37879906946106,-5.97145111657803,-5.49002380901999,-6.33233145774991,-6.4341168584922,-6.18663362754531,-5.99268100504627,-5.96532554891804,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert132_SYMGEO_9G_sl1_Stand_05-40Hz.set,-11.6417678550806,-11.3483193824534,-11.3831844587555,-10.5870735308932,-11.4784081319207,-11.4229578690823,-11.505183810973,-11.3040487269851,-11.0705804099346,-5.80163771484483,-5.73411064300071,-5.94306502062768,-5.50465673489629,-5.70353765623736,-5.70954170409847,-6.00200012210918,-5.87357453523664,-5.7094831284225,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_1G_sl1_Stand_05-40Hz.set,-10.8720501999043,-10.7337170570804,-9.65261471211382,-10.3313808526437,-10.4953005671437,-10.7230752092754,-9.96575263866351,-9.83534021639483,-10.0929284149754,-6.33223194541996,-6.31959816268662,-5.51778807385566,-6.06130364041543,-6.18263009304932,-6.32671586261389,-5.32905708150333,-5.80303470452124,-5.80799241467552,Expert,S14,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_2G_sl1_Stand_05-40Hz.set,-10.7185092524548,-10.4391151947568,-9.43886470768749,-10.2737167071647,-10.5014836530411,-10.4296328481905,-9.71179547440137,-9.79615726931781,-9.96242837410095,-6.19141959102764,-6.25822224904415,-5.24335380635149,-5.98178603424301,-6.13707494801252,-6.25352715150477,-5.34005590908626,-5.77516010229017,-5.71748908098102,Expert,S14,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_3G_sl1_Sit_05-40Hz.set,-11.1618716792884,-11.0006744943,-9.39224584854079,-10.4924637032571,-10.8060834663706,-10.9869967656071,-10.0209637915944,-10.2360639261298,-10.3097257800261,-6.37356203448198,-6.30184319759934,-5.39122591041094,-6.05928370753652,-6.19373898438935,-6.27487634560146,-5.55542116562881,-5.73888334648924,-5.89612348567585,Expert,S14,geometry,Sit
data/Epoched_Geometric/Expert14_SYMGEO_4G_sl1_Sit_05-40Hz.set,-11.155876257086,-11.3435603597946,-9.72076711349991,-10.8286892768668,-10.7441459512185,-11.3200375411817,-10.7427848025712,-10.5713975170564,-10.5888545032886,-6.41625448797734,-6.37210295743688,-5.41051096470981,-6.17485811622455,-6.1207616414869,-6.36077860901805,-5.55004081612492,-5.90483001919954,-6.06677737338763,Expert,S14,geometry,Sit
data/Epoched_Geometric/Expert14_SYMGEO_5G_sl1_Stand_05-40Hz.set,-9.7075058538731,-8.54611064201624,-7.08716129793109,-7.204550010577,-8.02374121223772,-8.5780804731769,-7.00543934110667,-8.41634856509162,-9.03811251420621,-5.86494935183558,-5.59528807874229,-4.78487679632985,-5.04068205265054,-5.45657132578786,-5.62298155878847,-4.7602365545424,-4.99096051600823,-5.54803361196796,Expert,S14,geometry,Stand
