files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/slide2/short2/Novice73_7A_sl2_stand.set,-11.381474213304072,-10.445548430306069,-10.564084548003688,-11.80615600884589,-10.963583968714406,-10.964151623900248,-10.361354532719904,-11.138348281000852,-12.7197685588571,-5.9070093231580225,-5.782915468863115,-8.022762886035938,-6.5559714872844115,-6.27651306283764,-5.500373513432807,-6.176272377368388,-6.56920616877821,-6.006726724759832,Novice,S73,algebra,stand
data/slide2/short2/Novice73_9A_sl2_sit.set,-10.722718158662023,-11.877521505979121,-10.91508585451371,-9.66438558603877,-10.946652194006198,-9.764271095613571,-10.674890560352985,-10.12611861888892,-9.709135897265684,-7.390557760740353,-5.809165469917027,-6.6046648182911625,-6.401148986533828,-6.3421350628357205,-5.090268649922134,-6.411762310304063,-6.390598291800419,-5.555422838169181,Novice,S73,algebra,sit
data/slide2/short2/Novice6_2A_sl2_stand.set,-11.43008350188403,-11.628871283604564,-10.077051554840697,-9.701158018437628,-10.420528691658477,-12.06216420208057,-10.760542303405227,-10.168873906802764,-11.648310586255628,-5.763249469516998,-6.168389608564482,-6.4015608443064185,-6.554662156665151,-5.9802272073622795,-6.416669337223108,-5.316367064768264,-6.114621188885317,-5.841924756481995,Novice,S6,algebra,stand
data/slide2/short2/Novice6_3A_sl2_sit.set,-11.320506324828417,-10.252600285186764,-10.157395120005948,-12.83729409234662,-10.331805684839503,-10.288556753306846,-11.013216848893853,-10.511333486009358,-12.288793197117895,-7.095177429495114,-6.375867356991355,-6.2884876799238025,-6.7148370858533735,-6.912478002125539,-6.28283847219909,-6.24999202329906,-5.981005323544051,-6.146975367873995,Novice,S6,algebra,sit
data/slide2/short2/Novice6_4A_sl2_sit.set,-12.253040725498629,-10.909215703624366,-10.821197197850204,-9.893227100226856,-13.007164044791224,-11.013981684002376,-11.495036422022,-10.30638703234003,-12.404825597998071,-6.643705264066002,-6.421738748705517,-5.685006075276752,-5.680947622112293,-6.572206585148218,-6.612223691590316,-5.888744594955242,-5.944564547291907,-6.211068462708043,Novice,S6,algebra,sit
data/slide2/short2/Novice6_5A_sl2_stand.set,-12.768311105272137,-11.707716914831682,-11.723427776346808,-11.065590211479698,-12.447642760383678,-11.518490644631067,-14.116369413635022,-11.485947758603654,-11.571948885472683,-5.923193131064696,-6.010521118292263,-5.72336267616351,-6.619891750146714,-5.950594115691433,-6.237743792535139,-7.368691400034659,-6.398337508025003,-7.4149221548740325,Novice,S6,algebra,stand
data/slide2/short2/Novice6_7A_sl2_stand.set,-11.74088684448326,-10.7683053811222,-12.058657094662204,-10.179122295196434,-10.582300127544176,-10.70463423676509,-13.02929153569867,-10.495760620553579,-9.9839605479313,-6.009704519053906,-5.952436056929647,-6.244636256171307,-6.02562907495867,-5.9741128957664955,-6.192348317430984,-7.332260963738166,-6.069482795012847,-6.043925452493019,Novice,S6,algebra,stand
data/slide2/short2/Novice6_9A_sl2_sit.set,-12.152753355729327,-11.893897250154543,-9.523030491845914,-8.994533165402466,-13.143287368878791,-11.648418631588914,-11.728237626580572,-9.20624770402696,-10.652261025741002,-5.554616459997233,-5.762911234734207,-5.453337152213783,-5.623896741168772,-5.787048609616303,-5.73784210448677,-7.069722612895395,-5.803233247247558,-5.849010663333672,Novice,S6,algebra,sit
data/slide2/short2/Novice73_11A_sl2_sit.set,-9.68547940360058,-11.675135951551379,-11.423074459469273,-12.369027139183242,-10.72994611409163,-11.084089018775735,-12.307954607536413,-12.331965243674889,-10.763616454510277,-5.1956410158304775,-6.369893816366117,-7.288821947706038,-6.793502333076279,-5.789272522570175,-6.310471445803502,-5.158182768229086,-6.5210163932254535,-6.094048014300469,Novice,S73,algebra,sit
data/slide2/short2/Expert11_2A_sl2_stand.set,-13.53245952542341,-11.20081980945658,-9.509736557449925,-9.464681990492293,-14.21205243031367,-11.4926581212214,-10.726620854789058,-9.244929929503261,-9.05127044111212,-6.754015049802446,-6.485381801673111,-7.960245271355855,-6.413899124337547,-6.685212673935837,-6.02744246591318,-6.4016083119945835,-6.392856375864986,-5.988543641238934,Expert,S11,algebra,stand
